Country,Area,Year,mean_temp
ARG,Argentina,2016,0.497083333
ARG,Argentina,2017,1.07025
ARG,Argentina,2018,0.7665
ARG,Argentina,2019,0.72725
ARM,Armenia,1992,-1.2675
ARM,Armenia,1993,-0.7935
ARM,Armenia,1994,0.309
ARM,Armenia,1995,1.038083333
ARM,Armenia,1996,0.96425
ARM,Armenia,1997,0.4265
ARM,Armenia,1998,1.623
ARM,Armenia,1999,1.515333333
ARM,Armenia,2000,1.026666667
ARM,Armenia,2001,1.503666667
ARM,Armenia,2002,0.733916667
ARM,Armenia,2003,0.623416667
ARM,Armenia,2004,0.9475
ARM,Armenia,2005,0.964583333
ARM,Armenia,2006,1.369166667
ARM,Armenia,2007,0.766083333
ARM,Armenia,2008,0.891
ARM,Armenia,2009,1.026583333
ARM,Armenia,2010,2.798916667
ARM,Armenia,2011,0.2475
ARM,Armenia,2012,1.45375
ARM,Armenia,2013,1.066833333
ARM,Armenia,2014,1.882916667
ARM,Armenia,2015,1.716833333
ARM,Armenia,2016,1.201583333
ARM,Armenia,2017,1.413916667
ARM,Armenia,2018,2.87425
ARM,Armenia,2019,1.893166667
AUS,Australia,1961,0.202416667
AUS,Australia,1962,0.072333333
AUS,Australia,1963,-0.080916667
AUS,Australia,1964,-0.1415
AUS,Australia,1965,0.259583333
AUS,Australia,1966,-0.3425
AUS,Australia,1967,-0.053333333
AUS,Australia,1968,-0.226333333
AUS,Australia,1969,0.139916667
AUS,Australia,1970,0.032166667
AUS,Australia,1971,-0.07725
AUS,Australia,1972,0.279583333
AUS,Australia,1973,0.704083333
AUS,Australia,1974,-0.362833333
AUS,Australia,1975,0.068833333
AUS,Australia,1976,-0.42375
AUS,Australia,1977,0.1875
AUS,Australia,1978,-0.021833333
AUS,Australia,1979,0.525916667
AUS,Australia,1980,0.8075
AUS,Australia,1981,0.436916667
AUS,Australia,1982,0.19525
AUS,Australia,1983,0.544333333
AUS,Australia,1984,-0.19975
AUS,Australia,1985,0.288
AUS,Australia,1986,0.327333333
AUS,Australia,1987,0.319916667
AUS,Australia,1988,0.885083333
AUS,Australia,1989,0.142833333
AUS,Australia,1990,0.571833333
AUS,Australia,1991,0.668416667
AUS,Australia,1992,0.182916667
AUS,Australia,1993,0.410666667
AUS,Australia,1994,0.286666667
AUS,Australia,1995,0.238166667
AUS,Australia,1996,0.561833333
AUS,Australia,1997,0.390333333
AUS,Australia,1998,0.959166667
AUS,Australia,1999,0.455333333
AUS,Australia,2000,0.190416667
AUS,Australia,2001,0.27525
AUS,Australia,2002,0.835166667
AUS,Australia,2003,0.792583333
AUS,Australia,2004,0.63275
AUS,Australia,2005,1.180666667
AUS,Australia,2006,0.586416667
AUS,Australia,2007,0.85325
AUS,Australia,2008,0.549583333
AUS,Australia,2009,1.038083333
AUS,Australia,2010,0.5265
AUS,Australia,2011,0.18625
AUS,Australia,2012,0.403666667
AUS,Australia,2013,1.41475
AUS,Australia,2014,1.150416667
AUS,Australia,2015,1.06425
AUS,Australia,2016,1.120083333
AUS,Australia,2017,1.144416667
AUS,Australia,2018,1.173916667
AUS,Australia,2019,1.511583333
AUT,Austria,1961,0.84375
AUT,Austria,1962,-0.864833333
AUT,Austria,1963,-0.699083333
AUT,Austria,1964,-0.104166667
AUT,Austria,1965,-0.7195
AUT,Austria,1966,0.539333333
AUT,Austria,1967,0.573916667
AUT,Austria,1968,0.0635
AUT,Austria,1969,-0.254333333
AUT,Austria,1970,-0.262583333
AUT,Austria,1971,0.164833333
AUT,Austria,1972,-0.08225
AUT,Austria,1973,-0.050833333
AUT,Austria,1974,0.595916667
AUT,Austria,1975,0.613416667
AUT,Austria,1976,0.108416667
AUT,Austria,1977,0.61225
AUT,Austria,1978,-0.455666667
AUT,Austria,1979,0.125833333
AUT,Austria,1980,-0.617
AUT,Austria,1981,0.268833333
AUT,Austria,1982,0.657916667
AUT,Austria,1983,0.89875
AUT,Austria,1984,-0.204083333
AUT,Austria,1985,-0.353
AUT,Austria,1986,0.055
AUT,Austria,1987,-0.0965
AUT,Austria,1988,0.82175
AUT,Austria,1989,1.092666667
AUT,Austria,1990,1.077
AUT,Austria,1991,0.10025
AUT,Austria,1992,1.38225
AUT,Austria,1993,0.664
AUT,Austria,1994,1.981416667
AUT,Austria,1995,0.738833333
AUT,Austria,1996,-0.317833333
AUT,Austria,1997,0.8395
AUT,Austria,1998,1.111666667
AUT,Austria,1999,1.08875
AUT,Austria,2000,1.960833333
AUT,Austria,2001,1.09775
AUT,Austria,2002,1.811333333
AUT,Austria,2003,1.471166667
AUT,Austria,2004,0.816333333
AUT,Austria,2005,0.529666667
AUT,Austria,2006,1.21525
AUT,Austria,2007,1.91825
AUT,Austria,2008,1.701
AUT,Austria,2009,1.48175
AUT,Austria,2010,0.458166667
AUT,Austria,2011,1.757333333
AUT,Austria,2012,1.60575
AUT,Austria,2013,1.268083333
AUT,Austria,2014,2.41025
AUT,Austria,2015,2.292
AUT,Austria,2016,1.839833333
AUT,Austria,2017,1.718583333
AUT,Austria,2018,2.571916667
AUT,Austria,2019,2.463333333
AZE,Azerbaijan,1992,-0.794833333
AZE,Azerbaijan,1993,-0.918416667
AZE,Azerbaijan,1994,0.0505
AZE,Azerbaijan,1995,1.25825
AZE,Azerbaijan,1996,0.667
AZE,Azerbaijan,1997,0.420416667
AZE,Azerbaijan,1998,1.43575
AZE,Azerbaijan,1999,1.3145
AZE,Azerbaijan,2000,1.04025
AZE,Azerbaijan,2001,1.482416667
AZE,Azerbaijan,2002,0.971666667
AZE,Azerbaijan,2003,0.437083333
AZE,Azerbaijan,2004,1.215583333
AZE,Azerbaijan,2005,1.20075
AZE,Azerbaijan,2006,1.208083333
AZE,Azerbaijan,2007,1.11075
AZE,Azerbaijan,2008,0.923
AZE,Azerbaijan,2009,1.1155
AZE,Azerbaijan,2010,2.556583333
AZE,Azerbaijan,2011,0.44
AZE,Azerbaijan,2012,1.572083333
AZE,Azerbaijan,2013,1.415583333
AZE,Azerbaijan,2014,1.612083333
AZE,Azerbaijan,2015,1.591916667
AZE,Azerbaijan,2016,1.29075
AZE,Azerbaijan,2017,1.666416667
AZE,Azerbaijan,2018,2.28975
AZE,Azerbaijan,2019,2.062083333
BAH,Bahamas,1961,0.119
BAH,Bahamas,1962,-0.222083333
BAH,Bahamas,1963,-0.153166667
BAH,Bahamas,1964,0.284833333
BAH,Bahamas,1965,-0.044416667
BAH,Bahamas,1966,-0.250416667
BAH,Bahamas,1967,-0.034583333
BAH,Bahamas,1968,-0.410916667
BAH,Bahamas,1969,-0.18425
BAH,Bahamas,1970,-0.352166667
BAH,Bahamas,1971,0.080083333
BAH,Bahamas,1972,0.411833333
BAH,Bahamas,1973,0.11975
BAH,Bahamas,1974,0.106916667
BAH,Bahamas,1975,0.445916667
BAH,Bahamas,1976,-0.149833333
BAH,Bahamas,1977,0.076
BAH,Bahamas,1978,0.241333333
BAH,Bahamas,1979,0.139083333
BAH,Bahamas,1980,0.288833333
BAH,Bahamas,1981,0.017
BAH,Bahamas,1982,0.6045
BAH,Bahamas,1983,0.335833333
BAH,Bahamas,1984,0.07225
BAH,Bahamas,1985,0.336333333
BAH,Bahamas,1986,0.46875
BAH,Bahamas,1987,0.38975
BAH,Bahamas,1988,0.389583333
BAH,Bahamas,1989,0.6635
BAH,Bahamas,1990,0.988333333
BAH,Bahamas,1991,0.855166667
BAH,Bahamas,1992,0.328333333
BAH,Bahamas,1993,0.425833333
BAH,Bahamas,1994,0.95175
BAH,Bahamas,1995,0.651
BAH,Bahamas,1996,0.157166667
BAH,Bahamas,1997,0.91825
BAH,Bahamas,1998,1.136
BAH,Bahamas,1999,0.585583333
BAH,Bahamas,2000,0.293833333
BAH,Bahamas,2001,0.36325
BAH,Bahamas,2002,0.894333333
BAH,Bahamas,2003,0.957416667
BAH,Bahamas,2004,0.435
BAH,Bahamas,2005,0.540916667
BAH,Bahamas,2006,0.39025
BAH,Bahamas,2007,0.808666667
BAH,Bahamas,2008,0.738666667
BAH,Bahamas,2009,0.5595
BAH,Bahamas,2010,-0.11975
BAH,Bahamas,2011,0.766666667
BAH,Bahamas,2012,0.3645
BAH,Bahamas,2013,0.71
BAH,Bahamas,2014,0.662166667
BAH,Bahamas,2015,1.407833333
BAH,Bahamas,2016,0.99825
BAH,Bahamas,2017,1.164833333
BAH,Bahamas,2018,1.08375
BAH,Bahamas,2019,1.463416667
BRN,Bahrain,1961,-0.436583333
BRN,Bahrain,1962,0.462583333
BRN,Bahrain,1963,0.458833333
BRN,Bahrain,1964,-0.587333333
BRN,Bahrain,1965,0.390916667
BRN,Bahrain,1966,0.663
BRN,Bahrain,1967,-0.605083333
BRN,Bahrain,1968,-0.098
BRN,Bahrain,1969,0.535
BRN,Bahrain,1970,0.1255
BRN,Bahrain,1971,-0.299
BRN,Bahrain,1972,-0.643916667
BRN,Bahrain,1973,0.004583333
BRN,Bahrain,1974,-0.142666667
BRN,Bahrain,1975,-0.15125
BRN,Bahrain,1976,-0.32375
BRN,Bahrain,1977,0.459916667
BRN,Bahrain,1978,0.136083333
BRN,Bahrain,1979,0.72975
BRN,Bahrain,1980,0.4005
BRN,Bahrain,1981,0.646333333
BRN,Bahrain,1982,-0.385416667
BRN,Bahrain,1983,-0.560083333
BRN,Bahrain,1984,0.0075
BRN,Bahrain,1985,0.4885
BRN,Bahrain,1986,0.576083333
BRN,Bahrain,1987,0.819833333
BRN,Bahrain,1988,0.719416667
BRN,Bahrain,1989,0.01725
BRN,Bahrain,1990,0.630166667
BRN,Bahrain,1991,-0.278916667
BRN,Bahrain,1992,-0.711
BRN,Bahrain,1993,0.2015
BRN,Bahrain,1994,0.77825
BRN,Bahrain,1995,0.2325
BRN,Bahrain,1996,0.79825
BRN,Bahrain,1997,0.247666667
BRN,Bahrain,1998,1.61375
BRN,Bahrain,1999,1.81125
BRN,Bahrain,2000,1.19175
BRN,Bahrain,2001,1.565416667
BRN,Bahrain,2002,1.368333333
BRN,Bahrain,2003,1.3095
BRN,Bahrain,2004,1.264833333
BRN,Bahrain,2005,1.371
BRN,Bahrain,2006,1.4445
BRN,Bahrain,2007,1.324666667
BRN,Bahrain,2008,1.175166667
BRN,Bahrain,2009,1.399916667
BRN,Bahrain,2010,2.182
BRN,Bahrain,2011,1.1565
BRN,Bahrain,2012,1.652
BRN,Bahrain,2013,1.37575
BRN,Bahrain,2014,1.996416667
BRN,Bahrain,2015,2.338416667
BRN,Bahrain,2016,1.8445
BRN,Bahrain,2017,2.0935
BRN,Bahrain,2018,2.521666667
BRN,Bahrain,2019,2.20275
BAR,Barbados,1961,0.21475
BAR,Barbados,1962,0.063833333
BAR,Barbados,1963,0.238
BAR,Barbados,1964,-0.17125
BAR,Barbados,1965,-0.138666667
BAR,Barbados,1966,-0.189416667
BAR,Barbados,1967,-0.29025
BAR,Barbados,1968,-0.282666667
BAR,Barbados,1969,0.316416667
BAR,Barbados,1970,0.113916667
BAR,Barbados,1971,-0.305583333
BAR,Barbados,1972,-0.0045
BAR,Barbados,1973,-0.144583333
BAR,Barbados,1974,-0.346083333
BAR,Barbados,1975,-0.630416667
BAR,Barbados,1976,-0.42
BAR,Barbados,1977,-0.006083333
BAR,Barbados,1978,0.230416667
BAR,Barbados,1979,0.035666667
BAR,Barbados,1984,-0.232583333
BAR,Barbados,1985,-0.288416667
BAR,Barbados,1987,0.450583333
BAR,Barbados,1988,0.273416667
BAR,Barbados,1991,0.35975
BAR,Barbados,1992,0.305166667
BAR,Barbados,1993,0.404916667
BAR,Barbados,1994,0.371416667
BAR,Barbados,1995,0.45625
BAR,Barbados,1996,0.21925
BAR,Barbados,1997,0.239083333
BAR,Barbados,1998,0.96125
BAR,Barbados,1999,0.32575
BAR,Barbados,2000,0.205083333
BAR,Barbados,2001,0.52575
BAR,Barbados,2003,0.886416667
BAR,Barbados,2004,0.6915
BAR,Barbados,2005,1.165
BAR,Barbados,2006,0.944333333
BAR,Barbados,2007,0.730583333
BAR,Barbados,2008,0.353666667
BAR,Barbados,2009,0.740416667
BAR,Barbados,2010,1.311416667
BAR,Barbados,2011,0.83475
BAR,Barbados,2012,0.758166667
BAR,Barbados,2013,0.868666667
BAR,Barbados,2014,0.705916667
BAR,Barbados,2016,1.423166667
BAR,Barbados,2018,0.915333333
BLR,Belarus,1992,1.272833333
BLR,Belarus,1993,0.159666667
BLR,Belarus,1994,0.873
BLR,Belarus,1995,1.16925
BLR,Belarus,1996,-0.220333333
BLR,Belarus,1997,0.474166667
