Country,Area,Months,Year,temperature,MonthCode
BDI,Burundi,July,1961,0.491,7
BDI,Burundi,August,1961,0.092,8
BDI,Burundi,September,1961,0.678,9
BDI,Burundi,October,1961,-0.492,10
BDI,Burundi,November,1961,-0.923,11
BDI,Burundi,December,1961,0.13,12
CAM,Cambodia,January,1961,-0.343,1
CAM,Cambodia,February,1961,0.349,2
CAM,Cambodia,March,1961,0.231,3
CAM,Cambodia,April,1961,-0.08,4
CAM,Cambodia,May,1961,-0.319,5
CAM,Cambodia,June,1961,-0.308,6
CAM,Cambodia,July,1961,-0.069,7
CAM,Cambodia,August,1961,-0.088,8
CAM,Cambodia,September,1961,0.147,9
CAM,Cambodia,October,1961,-0.431,10
CAM,Cambodia,November,1961,0.43,11
CAM,Cambodia,December,1961,0.589,12
CMR,Cameroon,January,1961,0.314,1
CMR,Cameroon,February,1961,-1.085,2
CMR,Cameroon,March,1961,-0.115,3
CMR,Cameroon,April,1961,0.033,4
CMR,Cameroon,May,1961,0.526,5
CMR,Cameroon,June,1961,-0.152,6
CMR,Cameroon,July,1961,-0.424,7
CMR,Cameroon,August,1961,-0.328,8
CMR,Cameroon,September,1961,-0.314,9
CMR,Cameroon,October,1961,-0.203,10
CMR,Cameroon,November,1961,-0.308,11
CMR,Cameroon,December,1961,-0.714,12
CAN,Canada,January,1961,0.462,1
CAN,Canada,February,1961,0.301,2
CAN,Canada,March,1961,-1.023,3
CAN,Canada,April,1961,-0.222,4
CAN,Canada,May,1961,-0.839,5
CAN,Canada,June,1961,0.757,6
CAN,Canada,July,1961,0.592,7
CAN,Canada,August,1961,0.548,8
CAN,Canada,September,1961,-0.666,9
CAN,Canada,October,1961,-1.096,10
CAN,Canada,November,1961,0.126,11
CAN,Canada,December,1961,-0.672,12
CHI,Chile,January,1961,-0.34,1
CHI,Chile,February,1961,-0.169,2
CHI,Chile,March,1961,-0.583,3
CHI,Chile,April,1961,-0.451,4
CHI,Chile,May,1961,-0.139,5
CHI,Chile,June,1961,-1.184,6
CHI,Chile,July,1961,-0.642,7
CHI,Chile,August,1961,0.679,8
CHI,Chile,September,1961,-0.51,9
CHI,Chile,October,1961,0.126,10
CHI,Chile,November,1961,-0.299,11
CHI,Chile,December,1961,-0.232,12
CHN,China,January,1961,-0.012,1
CHN,China,February,1961,0.353,2
CHN,China,March,1961,0.275,3
CHN,China,April,1961,0.884,4
CHN,China,May,1961,-0.135,5
CHN,China,June,1961,0.762,6
CHN,China,July,1961,0.57,7
CHN,China,August,1961,0.115,8
CHN,China,September,1961,0.243,9
CHN,China,October,1961,0.018,10
CHN,China,November,1961,0.606,11
CHN,China,December,1961,-0.325,12
COL,Colombia,January,1961,0.289,1
COL,Colombia,February,1961,0.148,2
COL,Colombia,March,1961,0.327,3
COL,Colombia,April,1961,0.171,4
COL,Colombia,May,1961,0.561,5
COL,Colombia,June,1961,-0.072,6
COL,Colombia,July,1961,-0.227,7
COL,Colombia,August,1961,0.194,8
COL,Colombia,September,1961,-0.057,9
COL,Colombia,October,1961,-0.024,10
COL,Colombia,November,1961,-0.485,11
COL,Colombia,December,1961,-0.209,12
COK,Cook Islands,January,1961,0.134,1
COK,Cook Islands,February,1961,-0.07,2
COK,Cook Islands,March,1961,-0.534,3
COK,Cook Islands,April,1961,0.025,4
COK,Cook Islands,May,1961,0.232,5
COK,Cook Islands,June,1961,-0.324,6
COK,Cook Islands,July,1961,0.079,7
COK,Cook Islands,August,1961,0.261,8
COK,Cook Islands,September,1961,0.283,9
COK,Cook Islands,October,1961,0.049,10
COK,Cook Islands,November,1961,-0.225,11
COK,Cook Islands,December,1961,-0.125,12
CRC,Costa Rica,January,1961,0,1
CRC,Costa Rica,February,1961,0,2
CRC,Costa Rica,March,1961,0,3
CRC,Costa Rica,April,1961,0,4
CRC,Costa Rica,May,1961,0,5
CRC,Costa Rica,June,1961,0,6
CRC,Costa Rica,July,1961,0,7
CRC,Costa Rica,August,1961,0,8
CRC,Costa Rica,September,1961,0,9
CRC,Costa Rica,October,1961,0,10
CRC,Costa Rica,November,1961,0,11
CRC,Costa Rica,December,1961,0,12
CRO,Croatia,January,1961,0,1
CRO,Croatia,February,1961,0,2
CRO,Croatia,March,1961,0,3
CRO,Croatia,April,1961,0,4
CRO,Croatia,May,1961,0,5
CRO,Croatia,June,1961,0,6
CRO,Croatia,July,1961,0,7
CRO,Croatia,August,1961,0,8
CRO,Croatia,September,1961,0,9
CRO,Croatia,October,1961,0,10
CRO,Croatia,November,1961,0,11
CRO,Croatia,December,1961,0,12
CUB,Cuba,January,1961,-0.021,1
CUB,Cuba,February,1961,1.293,2
CUB,Cuba,March,1961,0.709,3
CUB,Cuba,April,1961,0.31,4
CUB,Cuba,May,1961,-0.285,5
CUB,Cuba,June,1961,-0.049,6
CUB,Cuba,July,1961,0.201,7
CUB,Cuba,August,1961,0.158,8
CUB,Cuba,September,1961,-0.021,9
CUB,Cuba,October,1961,-0.441,10
CUB,Cuba,November,1961,-0.521,11
CUB,Cuba,December,1961,0.027,12
CYP,Cyprus,January,1961,0.251,1
CYP,Cyprus,February,1961,-1.038,2
CYP,Cyprus,March,1961,-1.058,3
CYP,Cyprus,April,1961,0.355,4
CYP,Cyprus,May,1961,0.532,5
CYP,Cyprus,June,1961,0.084,6
CYP,Cyprus,July,1961,0.265,7
CYP,Cyprus,August,1961,0.469,8
CYP,Cyprus,September,1961,-1.387,9
CYP,Cyprus,October,1961,-0.229,10
CYP,Cyprus,November,1961,-0.308,11
CYP,Cyprus,December,1961,0.952,12
CZE,Czech Republic,January,1961,-0.562,1
CZE,Czech Republic,February,1961,2.791,2
CZE,Czech Republic,March,1961,3.102,3
CZE,Czech Republic,April,1961,3.284,4
CZE,Czech Republic,May,1961,-1.311,5
CZE,Czech Republic,June,1961,0.887,6
CZE,Czech Republic,July,1961,-1.296,7
CZE,Czech Republic,August,1961,-0.046,8
CZE,Czech Republic,September,1961,2.36,9
CZE,Czech Republic,October,1961,1.931,10
CZE,Czech Republic,November,1961,0.269,11
CZE,Czech Republic,December,1961,-2.19,12
PRK,North Korea,January,1961,-1.643,1
PRK,North Korea,February,1961,0.842,2
PRK,North Korea,March,1961,1.747,3
PRK,North Korea,April,1961,0.791,4
PRK,North Korea,May,1961,0.009,5
PRK,North Korea,June,1961,0.73,6
PRK,North Korea,July,1961,1.536,7
PRK,North Korea,August,1961,0.739,8
PRK,North Korea,September,1961,0.586,9
PRK,North Korea,October,1961,0.511,10
PRK,North Korea,November,1961,2.232,11
PRK,North Korea,December,1961,0.648,12
DEN,Denmark,January,1961,0.067,1
DEN,Denmark,February,1961,3.998,2
DEN,Denmark,March,1961,3.596,3
DEN,Denmark,April,1961,2.235,4
DEN,Denmark,May,1961,-0.129,5
DEN,Denmark,June,1961,0.838,6
DEN,Denmark,July,1961,-0.921,7
DEN,Denmark,August,1961,-1.123,8
DEN,Denmark,September,1961,1.626,9
DEN,Denmark,October,1961,2.396,10
DEN,Denmark,November,1961,-0.109,11
DEN,Denmark,December,1961,-1.949,12
DJI,Djibouti,January,1961,0.51,1
DJI,Djibouti,February,1961,0.696,2
DJI,Djibouti,March,1961,0.244,3
DJI,Djibouti,April,1961,0.363,4
DJI,Djibouti,May,1961,0.478,5
DJI,Djibouti,June,1961,0.021,6
DJI,Djibouti,July,1961,-0.817,7
DJI,Djibouti,August,1961,-0.679,8
DJI,Djibouti,September,1961,-0.334,9
DJI,Djibouti,October,1961,-0.103,10
DJI,Djibouti,November,1961,0.355,11
DJI,Djibouti,December,1961,0.1,12
DOM,Dominican Republic,January,1961,0.844,1
DOM,Dominican Republic,February,1961,0.595,2
DOM,Dominican Republic,March,1961,-0.156,3
DOM,Dominican Republic,April,1961,0.282,4
DOM,Dominican Republic,May,1961,0.324,5
DOM,Dominican Republic,June,1961,-0.215,6
DOM,Dominican Republic,July,1961,-0.227,7
DOM,Dominican Republic,August,1961,-0.052,8
DOM,Dominican Republic,September,1961,-0.025,9
DOM,Dominican Republic,October,1961,-0.357,10
DOM,Dominican Republic,November,1961,-1.223,11
DOM,Dominican Republic,December,1961,-0.176,12
ECU,Ecuador,January,1961,-0.006,1
ECU,Ecuador,February,1961,0.046,2
