Country,Area,Months,Year,temperature
COK,Cook Islands,August,1961,0.261
COK,Cook Islands,September,1961,0.283
COK,Cook Islands,October,1961,0.049
COK,Cook Islands,November,1961,-0.225
COK,Cook Islands,December,1961,-0.125
CRC,Costa Rica,January,1961,NA
CRC,Costa Rica,February,1961,NA
CRC,Costa Rica,March,1961,NA
CRC,Costa Rica,April,1961,NA
CRC,Costa Rica,May,1961,NA
CRC,Costa Rica,June,1961,NA
CRC,Costa Rica,July,1961,NA
CRC,Costa Rica,August,1961,NA
CRC,Costa Rica,September,1961,NA
CRC,Costa Rica,October,1961,NA
CRC,Costa Rica,November,1961,NA
CRC,Costa Rica,December,1961,NA
CRO,Croatia,January,1961,NA
CRO,Croatia,February,1961,NA
CRO,Croatia,March,1961,NA
CRO,Croatia,April,1961,NA
CRO,Croatia,May,1961,NA
CRO,Croatia,June,1961,NA
CRO,Croatia,July,1961,NA
CRO,Croatia,August,1961,NA
CRO,Croatia,September,1961,NA
CRO,Croatia,October,1961,NA
CRO,Croatia,November,1961,NA
CRO,Croatia,December,1961,NA
CUB,Cuba,January,1961,-0.021
CUB,Cuba,February,1961,1.293
CUB,Cuba,March,1961,0.709
CUB,Cuba,April,1961,0.31
CUB,Cuba,May,1961,-0.285
CUB,Cuba,June,1961,-0.049
CUB,Cuba,July,1961,0.201
CUB,Cuba,August,1961,0.158
CUB,Cuba,September,1961,-0.021
CUB,Cuba,October,1961,-0.441
CUB,Cuba,November,1961,-0.521
CUB,Cuba,December,1961,0.027
CYP,Cyprus,January,1961,0.251
CYP,Cyprus,February,1961,-1.038
CYP,Cyprus,March,1961,-1.058
CYP,Cyprus,April,1961,0.355
CYP,Cyprus,May,1961,0.532
CYP,Cyprus,June,1961,0.084
CYP,Cyprus,July,1961,0.265
CYP,Cyprus,August,1961,0.469
CYP,Cyprus,September,1961,-1.387
CYP,Cyprus,October,1961,-0.229
CYP,Cyprus,November,1961,-0.308
CYP,Cyprus,December,1961,0.952
CZE,Czech Republic,January,1961,-0.562
CZE,Czech Republic,February,1961,2.791
CZE,Czech Republic,March,1961,3.102
CZE,Czech Republic,April,1961,3.284
CZE,Czech Republic,May,1961,-1.311
CZE,Czech Republic,June,1961,0.887
CZE,Czech Republic,July,1961,-1.296
CZE,Czech Republic,August,1961,-0.046
CZE,Czech Republic,September,1961,2.36
CZE,Czech Republic,October,1961,1.931
CZE,Czech Republic,November,1961,0.269
CZE,Czech Republic,December,1961,-2.19
PRK,North Korea,January,1961,-1.643
PRK,North Korea,February,1961,0.842
PRK,North Korea,March,1961,1.747
PRK,North Korea,April,1961,0.791
PRK,North Korea,May,1961,0.009
PRK,North Korea,June,1961,0.73
PRK,North Korea,July,1961,1.536
PRK,North Korea,August,1961,0.739
PRK,North Korea,September,1961,0.586
PRK,North Korea,October,1961,0.511
PRK,North Korea,November,1961,2.232
PRK,North Korea,December,1961,0.648
DEN,Denmark,January,1961,0.067
DEN,Denmark,February,1961,3.998
DEN,Denmark,March,1961,3.596
DEN,Denmark,April,1961,2.235
DEN,Denmark,May,1961,-0.129
DEN,Denmark,June,1961,0.838
DEN,Denmark,July,1961,-0.921
DEN,Denmark,August,1961,-1.123
DEN,Denmark,September,1961,1.626
DEN,Denmark,October,1961,2.396
DEN,Denmark,November,1961,-0.109
DEN,Denmark,December,1961,-1.949
DJI,Djibouti,January,1961,0.51
DJI,Djibouti,February,1961,0.696
DJI,Djibouti,March,1961,0.244
DJI,Djibouti,April,1961,0.363
DJI,Djibouti,May,1961,0.478
DJI,Djibouti,June,1961,0.021
DJI,Djibouti,July,1961,-0.817
DJI,Djibouti,August,1961,-0.679
DJI,Djibouti,September,1961,-0.334
DJI,Djibouti,October,1961,-0.103
DJI,Djibouti,November,1961,0.355
DJI,Djibouti,December,1961,0.1
DOM,Dominican Republic,January,1961,0.844
DOM,Dominican Republic,February,1961,0.595
DOM,Dominican Republic,March,1961,-0.156
DOM,Dominican Republic,April,1961,0.282
DOM,Dominican Republic,May,1961,0.324
DOM,Dominican Republic,June,1961,-0.215
DOM,Dominican Republic,July,1961,-0.227
DOM,Dominican Republic,August,1961,-0.052
DOM,Dominican Republic,September,1961,-0.025
DOM,Dominican Republic,October,1961,-0.357
DOM,Dominican Republic,November,1961,-1.223
DOM,Dominican Republic,December,1961,-0.176
ECU,Ecuador,January,1961,-0.006
ECU,Ecuador,February,1961,0.046
ECU,Ecuador,March,1961,-0.115
ECU,Ecuador,April,1961,-0.338
ECU,Ecuador,May,1961,0.337
ECU,Ecuador,June,1961,-0.191
ECU,Ecuador,July,1961,-0.621
ECU,Ecuador,August,1961,-0.155
ECU,Ecuador,September,1961,-0.159
ECU,Ecuador,October,1961,-0.13
ECU,Ecuador,November,1961,-0.463
ECU,Ecuador,December,1961,0.07
EGY,Egypt,January,1961,1.035
EGY,Egypt,February,1961,-1.947
EGY,Egypt,March,1961,-2.072
EGY,Egypt,April,1961,-0.391
EGY,Egypt,May,1961,-0.313
EGY,Egypt,June,1961,1.803
EGY,Egypt,July,1961,-0.477
EGY,Egypt,August,1961,-0.254
EGY,Egypt,September,1961,-2.042
EGY,Egypt,October,1961,-1.508
EGY,Egypt,November,1961,-0.722
EGY,Egypt,December,1961,-0.044
